# File with texts that are used to generate the RTD code for the constants
# The format is ClassName|contents
AllelicState|Terms from the `GENE ontology <https://www.ebi.ac.uk/ols/ontologies/geno>`_ are used to describe the allelic state of variants.
Laterality|Modifier terms from the `HPO <https://hpo.jax.org/app/>`_ are used to describe laterality.
MedicalActions|Terms from the `NCI Thesaurus <https://www.ebi.ac.uk/ols/ontologies/ncit>`_ are used for components of medical action messages.
Onset|Terms from the `HPO <https://hpo.jax.org/app/>`_ are used to describe age of onset or diseases or specific phenotypic features.
Organ|Terms from the `UBERON ontology <https://www.ebi.ac.uk/ols/ontologies/uberon>`_ are used to describe organs.
SpatialPattern|Modifier terms from the `HPO <https://hpo.jax.org/app/>`_ are used to describe spatial patterns of phenotypic abnormalities.
Unit|With some exceptions, terms from the `The Unified Code for Units of Measure <https://units-of-measurement.org/>`_ are used to denote units.
Response|These codes from `NCI Thesaurus <https://www.ebi.ac.uk/ols/ontologies/ncit>`_ can be used to code the overall response of a patient to treatment. Favorable and Unfavorble can be used for general purposes and the remaining codes are intended to be used for oncology.
Assays|If possible, `LOINC <https://loinc.org/>`_ codes should be used to specify laboratory test assays.
Gender|`LOINC <https://loinc.org/>`_ codes should be used to specify self-reported gender.
PathologicalTnm|TNM staging performed as part of pathologic specimen (based on surgical specimens including sentinel lymph node biopsy specimens).
